"Date","Open","High","Low","Close","Volume","OpenInt"
11/18/1964,31.5,31.5,31.5,31.5,0,0
11/19/1964,31.4,31.4,31.4,31.4,0,0
11/20/1964,31.05,31.05,31.05,31.05,0,0
11/23/1964,31.15,31.15,31.15,31.15,0,0
11/24/1964,31.15,31.15,31.15,31.15,0,0
11/25/1964,31,31,31,31,0,0
11/27/1964,31,31,31,31,0,0
11/30/1964,31,31,31,31,0,0
12/01/1964,30.8,30.8,30.8,30.8,0,0
12/02/1964,30.85,30.85,30.85,30.85,0,0
12/03/1964,30.81,30.81,30.81,30.81,0,0
12/04/1964,30.75,30.75,30.75,30.75,0,0
12/07/1964,30.7,30.7,30.7,30.7,0,0
12/08/1964,30.7,30.7,30.7,30.7,0,0
12/09/1964,30.7,30.7,30.7,30.7,0,0
12/10/1964,30.6,30.6,30.6,30.6,0,0
12/11/1964,30.65,30.65,30.65,30.65,0,0
12/14/1964,30.6,30.6,30.6,30.6,0,0
12/15/1964,30.75,30.75,30.75,30.75,0,0
12/16/1964,30.75,30.75,30.75,30.75,0,0
12/17/1964,30.75,30.75,30.75,30.75,0,0
12/18/1964,30.8,30.8,30.8,30.8,0,0
12/21/1964,30.15,30.15,30.15,30.15,0,0
12/22/1964,30.35,30.35,30.35,30.35,0,0
12/23/1964,30.43,30.43,30.43,30.43,0,0
12/24/1964,30.4,30.4,30.4,30.4,0,0
12/28/1964,30.45,30.45,30.45,30.45,0,0
12/29/1964,30.43,30.43,30.43,30.43,0,0
12/30/1964,30.43,30.43,30.43,30.43,0,0
12/31/1964,30.43,30.43,30.43,30.43,0,0
01/04/1965,30.43,30.43,30.43,30.43,0,0
01/05/1965,30.43,30.43,30.43,30.43,0,0
01/06/1965,30.7,30.7,30.7,30.7,0,0
01/07/1965,30.63,30.63,30.63,30.63,0,0
01/08/1965,30.63,30.63,30.63,30.63,0,0
01/11/1965,30.63,30.63,30.63,30.63,0,0
01/12/1965,30.63,30.63,30.63,30.63,0,0
01/13/1965,30.63,30.63,30.63,30.63,0,0
01/14/1965,30.63,30.63,30.63,30.63,0,0
01/15/1965,30.65,30.65,30.65,30.65,0,0
01/18/1965,30.63,30.63,30.63,30.63,0,0
01/19/1965,30.65,30.65,30.65,30.65,0,0
