"Date","Open","High","Low","Close","Volume","OpenInt"
04/24/1970,26.59,26.62,26.59,26.59,0,0
04/27/1970,26.55,26.55,26.55,26.55,6,4
04/28/1970,26.48,26.48,26.48,26.48,0,4
04/29/1970,26.5,26.5,26.5,26.5,0,4
04/30/1970,26.4,26.4,26.4,26.4,0,4
05/01/1970,26.61,26.61,26.61,26.61,0,4
05/04/1970,26.66,26.66,26.66,26.66,0,4
05/05/1970,26.57,26.57,26.57,26.57,0,4
05/06/1970,26.6,26.6,26.6,26.6,0,4
05/07/1970,26.65,26.65,26.65,26.65,0,4
05/08/1970,26.55,26.55,26.55,26.55,0,4
05/11/1970,26.5,26.5,26.5,26.5,0,4
05/12/1970,26.42,26.42,26.42,26.42,0,4
05/13/1970,26.43,26.43,26.43,26.43,0,4
05/14/1970,26.4,26.4,26.4,26.4,0,4
05/15/1970,26.55,26.55,26.55,26.55,0,4
05/18/1970,26.5,26.5,26.5,26.5,0,4
05/19/1970,26.45,26.45,26.45,26.45,0,4
05/20/1970,26.4,26.4,26.4,26.4,0,4
05/21/1970,26.4,26.4,26.4,26.4,0,4
05/22/1970,26.4,26.4,26.4,26.4,0,4
05/25/1970,26.4,26.4,26.4,26.4,0,4
05/26/1970,26.45,26.45,26.45,26.45,0,4
05/27/1970,26.4,26.4,26.4,26.4,0,4
05/28/1970,26.81,26.81,26.81,26.81,0,4
06/01/1970,26.71,26.71,26.71,26.71,0,4
06/02/1970,26.78,26.78,26.78,26.78,0,4
06/03/1970,26.75,26.75,26.75,26.75,0,4
06/04/1970,26.5,26.5,26.5,26.5,0,4
06/05/1970,26.5,26.5,26.5,26.5,1,5
06/08/1970,26.55,26.55,26.55,26.55,0,5
06/09/1970,26.75,26.75,26.75,26.75,0,5
06/10/1970,26.8,26.8,26.8,26.8,0,5
06/11/1970,26.85,26.85,26.85,26.85,0,5
06/12/1970,26.95,26.95,26.95,26.95,0,5
06/15/1970,27.15,27.15,27.15,27.15,0,5
06/16/1970,27.22,27.22,27.22,27.22,0,5
06/17/1970,27.02,27.02,27.02,27.02,0,5
06/18/1970,27.05,27.05,27.05,27.05,0,5
06/19/1970,26.99,26.99,26.99,26.99,1,5
06/22/1970,26.92,26.92,26.92,26.92,0,5
06/23/1970,27,27,27,27,0,5
06/24/1970,27,27,27,27,0,5
06/25/1970,26.95,26.95,26.95,26.95,0,5
06/26/1970,26.95,26.95,26.95,26.95,0,5
06/29/1970,27.11,27.11,27.11,27.11,0,5
06/30/1970,27.16,27.16,27.16,27.16,0,5
07/01/1970,27.12,27.12,27.12,27.12,0,5
07/02/1970,27.07,27.07,27.07,27.07,0,5
07/06/1970,27,27,27,27,0,5
07/07/1970,26.92,26.92,26.92,26.92,0,5
07/08/1970,26.97,26.97,26.97,26.97,0,5
07/09/1970,27.1,27.1,27.1,27.1,0,5
07/10/1970,27.17,27.17,27.17,27.17,1,6
07/13/1970,27.39,27.39,27.39,27.39,1,6
07/14/1970,27.65,27.65,27.65,27.65,0,6
07/15/1970,27.45,27.45,27.45,27.45,1,6
07/16/1970,27.45,27.45,27.45,27.45,0,6
07/17/1970,27.49,27.49,27.49,27.49,0,6
07/20/1970,27.13,27.13,27.13,27.13,0,6
07/21/1970,26.7,26.7,26.7,26.7,1,7
07/22/1970,26.99,26.99,26.99,26.99,1,8
07/23/1970,26.65,26.65,26.65,26.65,1,7
07/24/1970,26.75,26.75,26.75,26.75,0,7
07/27/1970,26.73,26.73,26.73,26.73,4,11
07/28/1970,26.85,26.85,26.85,26.85,0,11
07/29/1970,26.85,26.85,26.85,26.85,2,13
07/30/1970,26.75,26.75,26.75,26.75,8,20
07/31/1970,26.78,26.78,26.78,26.78,0,20
08/03/1970,27.03,27.05,27.03,27.05,0,20
08/04/1970,26.99,26.99,26.95,26.95,2,22
08/05/1970,26.7,26.7,26.67,26.7,9,30
08/06/1970,26.53,26.53,26.45,26.5,7,37
08/07/1970,26.6,26.62,26.6,26.6,26,61
08/10/1970,26.48,26.48,26.48,26.48,4,65
08/11/1970,26.67,26.67,26.67,26.67,3,68
08/12/1970,26.79,26.79,26.79,26.79,1,69
08/13/1970,26.79,26.79,26.79,26.79,0,69
08/14/1970,26.95,26.95,26.95,26.95,0,69
08/17/1970,26.67,26.67,26.67,26.67,0,69
08/18/1970,26.67,26.67,26.67,26.67,0,69
08/19/1970,26.62,26.62,26.62,26.62,0,69
08/20/1970,26.77,26.77,26.77,26.77,0,69
08/21/1970,26.75,26.75,26.75,26.75,0,69
08/24/1970,26.67,26.67,26.67,26.67,0,69
08/25/1970,26.96,26.96,26.96,26.96,0,69
08/26/1970,27.19,27.19,27.19,27.19,1,68
08/27/1970,27.1,27.1,27.1,27.1,4,64
08/28/1970,27.05,27.05,27.05,27.05,1,65
08/31/1970,27.05,27.3,27.05,27.3,0,65
09/01/1970,27.37,27.4,27.37,27.37,4,67
09/02/1970,27.3,27.3,27.3,27.3,11,63
09/03/1970,27.8,27.8,27.8,27.8,1,64
09/04/1970,27.9,27.99,27.9,27.9,0,64
09/08/1970,28,28,27.7,27.78,2,65
09/09/1970,27.7,27.7,27.65,27.7,10,60
09/10/1970,28,28.25,28,28.05,7,58
09/11/1970,28.1,28.32,28.1,28.1,10,63
09/14/1970,28.15,28.15,28.15,28.15,6,64
09/15/1970,28.4,28.4,28.4,28.4,0,64
09/16/1970,28.3,28.45,28.3,28.35,3,61
09/17/1970,28.2,28.2,28.19,28.2,8,68
09/18/1970,28.2,28.2,28.2,28.2,2,69
09/21/1970,28.1,28.1,28,28,0,69
09/22/1970,27.95,28.2,27.95,28.2,3,70
09/23/1970,28.4,28.55,28.4,28.4,12,63
09/24/1970,28.35,28.35,28.35,28.35,17,59
09/25/1970,28.05,28.1,28,28.05,3,57
09/28/1970,28,28,28,28,6,53
09/29/1970,28,28,27.9,27.9,0,53
09/30/1970,27.85,27.85,27.7,27.7,8,53
10/01/1970,27.7,27.7,27.7,27.7,11,56
10/02/1970,27.8,27.8,27.8,27.8,0,56
10/05/1970,27.9,27.92,27.9,27.9,0,56
10/06/1970,27.9,27.9,27.85,27.89,3,59
10/07/1970,27.8,28,27.61,27.82,6,63
10/08/1970,28.05,28.05,28.05,28.05,27,85
10/09/1970,28.1,28.15,28.05,28.05,1,85
10/12/1970,28.2,28.28,28.2,28.2,7,89
10/13/1970,28.35,28.35,28.35,28.35,3,92
10/14/1970,28.35,28.35,28.35,28.35,1,93
10/15/1970,27.95,28,27.7,27.77,1,93
10/16/1970,27.73,27.73,27.5,27.55,30,75
10/19/1970,27.58,27.58,27.58,27.58,21,83
10/20/1970,27.75,27.75,27.75,27.75,0,83
10/21/1970,27.6,27.6,27.6,27.6,1,83
10/22/1970,27.51,27.51,27.51,27.51,2,81
10/23/1970,27.85,27.85,27.85,27.85,2,80
10/26/1970,27.83,27.83,27.83,27.83,2,82
10/27/1970,28.2,28.29,28.2,28.29,0,82
10/28/1970,28.3,28.38,28.25,28.38,4,84
10/29/1970,28.25,28.25,28.25,28.25,10,90
10/30/1970,28.25,28.38,28.25,28.38,0,90
11/02/1970,28.42,28.45,28.33,28.45,8,90
11/04/1970,28.32,28.32,28.32,28.32,5,93
11/05/1970,28.1,28.1,28.1,28.1,0,93
11/06/1970,28,28.1,28,28,1,93
11/09/1970,28.08,28.08,27.76,27.76,5,95
11/10/1970,27.6,27.65,27.6,27.6,10,96
11/11/1970,27.6,27.8,27.6,27.7,2,97
11/12/1970,27.65,27.65,27.65,27.65,24,99
11/13/1970,27.55,27.65,27.51,27.52,1,95
11/16/1970,27.35,27.35,27.13,27.13,16,102
11/17/1970,27.13,27.35,27.13,27.25,6,99
11/18/1970,27.4,27.4,27.4,27.4,17,101
11/19/1970,27.48,27.5,27.48,27.48,1,101
11/20/1970,27.25,27.31,27.23,27.23,11,111
11/23/1970,27.15,27.15,27.02,27.02,24,114
11/24/1970,27,27.07,27,27.06,5,111
11/25/1970,27.17,27.17,27.17,27.17,10,117
11/27/1970,27.4,27.4,27.4,27.4,0,117
11/30/1970,27.55,27.55,27.29,27.29,0,117
12/01/1970,27.21,27.35,27.19,27.25,3,118
12/02/1970,27.2,27.2,27.2,27.2,3,118
12/03/1970,27.22,27.23,27.18,27.18,0,118
12/04/1970,27.18,27.18,27.08,27.08,8,118
12/07/1970,27.26,27.26,27.26,27.26,13,120
12/08/1970,27.11,27.11,27.11,27.11,1,121
12/09/1970,27.21,27.21,27.21,27.21,0,121
12/10/1970,27,27,26.73,26.81,1,121
12/11/1970,26.86,26.98,26.86,26.96,4,124
12/14/1970,26.93,26.93,26.93,26.93,11,126
12/15/1970,27.15,27.15,27.15,27.15,0,126
12/16/1970,27.2,27.25,27.2,27.2,1,127
12/17/1970,27.3,27.34,27.3,27.3,9,131
12/18/1970,27.3,27.4,27.3,27.4,4,134
12/21/1970,27.25,27.25,27.25,27.25,5,133
12/22/1970,27.25,27.4,27.25,27.35,0,133
12/23/1970,27.3,27.4,27.3,27.4,2,134
12/24/1970,27.45,27.45,27.45,27.45,4,134
12/28/1970,27.5,27.63,27.5,27.55,0,134
12/29/1970,27.55,27.55,27.55,27.55,12,140
12/30/1970,27.35,27.35,27.35,27.35,5,141
12/31/1970,27.3,27.41,27.3,27.35,1,141
01/04/1971,27.41,27.41,27.41,27.41,3,142
01/05/1971,27.12,27.13,27.12,27.12,1,143
01/06/1971,27.02,27.1,26.9,26.98,2,142
01/07/1971,27,27.09,26.98,26.98,9,141
01/08/1971,27,27.1,27,27.08,6,144
01/11/1971,27.1,27.12,27.1,27.1,5,147
01/12/1971,27.09,27.1,27.09,27.1,5,152
01/13/1971,27.18,27.23,27.18,27.2,4,156
01/14/1971,27.29,27.36,27.29,27.32,6,160
01/15/1971,27.35,27.37,27.35,27.35,16,165
01/18/1971,27.33,27.37,27.33,27.37,10,172
01/19/1971,27.4,27.41,27.29,27.29,6,178
01/20/1971,27.4,27.69,27.4,27.6,5,182
01/21/1971,27.67,27.81,27.67,27.8,23,190
01/22/1971,27.8,27.8,27.69,27.77,40,210
01/25/1971,27.75,27.75,27.69,27.7,15,222
01/26/1971,27.77,28.15,27.77,28,6,227
01/27/1971,28.01,28.04,27.7,27.73,89,279
01/28/1971,27.77,27.9,27.4,27.46,37,276
01/29/1971,27.5,27.57,27.36,27.37,97,289
02/01/1971,27.44,27.55,27.44,27.52,72,330
02/02/1971,27.47,27.5,27.3,27.34,26,343
02/03/1971,27.33,27.35,27.22,27.32,24,355
02/04/1971,27.22,27.28,27.2,27.23,42,373
02/05/1971,27.3,27.3,27.21,27.3,28,390
02/08/1971,27.35,27.4,27.35,27.37,44,398
02/09/1971,27.39,27.47,27.39,27.45,16,406
02/10/1971,27.32,27.42,27.25,27.4,23,397
02/11/1971,27.36,27.48,27.36,27.36,21,403
02/16/1971,27.5,27.52,27.38,27.38,43,417
02/17/1971,27.43,27.43,27.25,27.25,104,459
02/18/1971,27.39,27.46,27.3,27.45,57,471
02/19/1971,27.5,28.2,27.42,28.08,30,482
02/22/1971,28.18,28.21,27.88,27.89,117,500
02/23/1971,27.89,27.97,27.85,27.9,207,627
02/24/1971,27.86,28.08,27.72,27.76,119,675
02/25/1971,27.83,27.83,27.65,27.73,90,687
02/26/1971,27.82,28,27.82,27.98,89,700
03/01/1971,28.08,28.25,28.08,28.16,59,722
03/02/1971,28.2,28.27,28,28.01,97,770
03/03/1971,27.98,27.98,27.82,27.88,156,866
03/04/1971,27.94,27.94,27.78,27.87,78,902
03/05/1971,27.85,28.19,27.84,28.17,75,914
03/08/1971,28.28,28.35,28.2,28.32,92,958
03/09/1971,28.29,28.33,28.1,28.15,151,1048
03/10/1971,28.1,28.1,27.85,27.89,100,1104
03/11/1971,27.97,27.98,27.7,27.78,158,1182
03/12/1971,27.8,27.8,27.72,27.74,161,1189
03/15/1971,27.72,27.72,27.29,27.29,84,1222
03/16/1971,27.26,27.55,27.25,27.41,224,1183
03/17/1971,27.75,27.75,27.43,27.45,95,1187
03/18/1971,27.5,27.65,27.45,27.49,144,1216
03/19/1971,27.5,27.56,27.46,27.46,83,1222
03/22/1971,27.52,27.72,27.52,27.66,28,1221
03/23/1971,27.7,27.7,27.56,27.56,84,1213
03/24/1971,27.5,27.54,27.4,27.45,54,1216
03/25/1971,27.47,27.55,27.47,27.53,49,1227
03/26/1971,27.65,27.68,27.57,27.57,46,1233
03/29/1971,27.57,27.7,27.51,27.55,30,1236
03/30/1971,27.52,27.6,27.23,27.36,24,1235
03/31/1971,27.25,27.45,27.25,27.4,96,1230
04/01/1971,27.47,27.75,27.45,27.63,60,1230
04/02/1971,27.73,27.83,27.53,27.76,163,1230
04/05/1971,27.89,28.1,27.74,27.98,144,1248
04/06/1971,28.01,28.1,27.77,27.8,218,1249
04/07/1971,27.77,27.87,27.55,27.55,98,1296
04/08/1971,27.65,27.98,27.65,27.7,81,1329
04/09/1971,28.1,28.2,27.95,28.1,102,1309
04/12/1971,28.1,28.2,27.95,28.1,102,1309
04/13/1971,28.15,28.38,28.02,28.3,179,1361
04/14/1971,28.25,28.35,27.98,27.98,247,1413
04/15/1971,27.81,27.88,27.66,27.87,221,1453
04/16/1971,27.6,27.7,27.53,27.7,193,1477
04/19/1971,27.55,27.9,27.55,27.8,112,1504
04/20/1971,27.9,27.9,27.72,27.75,122,1511
04/21/1971,27.7,27.79,27.55,27.78,64,1528
04/22/1971,27.9,28.09,27.89,28.08,87,1538
04/23/1971,28.1,28.3,27.96,28.15,161,1565
04/26/1971,28.4,28.65,28.4,28.56,166,1609
04/27/1971,28.58,28.78,28.2,28.27,517,1653
04/28/1971,28.32,28.49,28.27,28.29,319,1659
04/29/1971,28.54,28.64,28.41,28.57,178,1693
04/30/1971,28.74,28.78,28.6,28.6,128,1671
05/03/1971,28.75,28.85,28.48,28.48,216,1669
05/04/1971,28.46,28.7,28.42,28.67,214,1661
05/05/1971,28.7,28.77,28.48,28.64,116,1645
05/06/1971,28.65,28.65,28.3,28.35,214,1589
05/07/1971,28.43,28.58,28.1,28.56,178,1553
05/10/1971,28.52,28.71,28.35,28.67,225,1509
05/11/1971,28.73,29.15,28.5,29.09,153,1508
05/12/1971,29.19,29.25,29,29.25,259,1494
05/13/1971,29.33,29.35,29.15,29.21,126,1487
05/14/1971,29.12,29.3,29.04,29.16,168,1446
05/17/1971,29.23,29.74,29.2,29.72,159,1473
05/18/1971,29.8,31.35,29.75,30.6,319,1405
05/20/1971,30.33,30.6,29.9,30.45,459,1433
05/21/1971,30.15,30.45,30.15,30.38,0,0
05/24/1971,30.5,31.03,30.5,31.03,111,1513
05/25/1971,31.28,31.63,30.9,30.9,449,1618
05/26/1971,30.8,31.18,30.2,30.2,300,1684
05/27/1971,29.75,29.8,28.9,28.9,159,1703
05/28/1971,28.25,29.85,27.85,29.25,161,1733
06/01/1971,28.65,28.75,27.4,27.4,296,1682
06/02/1971,27.5,27.74,26.75,26.85,330,1665
06/03/1971,27.05,27.38,27.01,27.01,547,1536
06/04/1971,27.21,27.52,27.21,27.35,251,1432
06/07/1971,27.3,27.35,27.15,27.15,133,1387
06/08/1971,27.18,27.45,27.18,27.39,160,1323
06/09/1971,27.45,28.2,27.45,28.2,150,1276
06/10/1971,28.44,28.67,28.05,28.05,199,1197
06/11/1971,27.8,28.35,27.75,27.99,148,1139
06/14/1971,27.95,28.15,27.45,27.45,73,1132
06/15/1971,27.33,27.42,27.2,27.28,71,1111
06/16/1971,27.28,27.7,27.28,27.65,155,1073
06/17/1971,27.95,28.25,27.8,28.1,99,1028
06/18/1971,28.32,28.59,28.23,28.53,144,924
06/21/1971,28.7,28.7,28.07,28.08,126,803
06/22/1971,27.88,28.25,27.88,28.05,79,760
06/23/1971,28.3,28.5,28.12,28.48,155,655
06/24/1971,28.5,28.55,27.65,27.8,143,582
06/25/1971,27.45,27.7,27.15,27.18,400,314
06/28/1971,27.1,27.7,26.96,27.3,174,249
06/29/1971,27.55,27.55,27.37,27.45,106,269
06/30/1971,27.35,27.54,27.35,27.35,26,252
07/01/1971,27.1,27.27,26.94,26.94,15,253
07/02/1971,26.9,26.9,26.51,26.54,33,141
07/06/1971,26.6,26.6,26.19,26.45,21,105
07/07/1971,26.38,26.5,26.38,26.5,35,86
07/08/1971,26.85,27.5,26.85,27.5,14,78
