"Date","Open","High","Low","Close","Volume","OpenInt"
02/03/1999,0.4087,0.4087,0.4087,0.4087,36,25
02/04/1999,0.4087,0.4087,0.4087,0.4087,25,25
02/05/1999,0.4050,0.4050,0.4050,0.4050,0,25
02/08/1999,0.4000,0.4004,0.4000,0.4004,10,27
02/09/1999,0.4022,0.4022,0.4022,0.4022,0,35
02/10/1999,0.3995,0.3995,0.3995,0.3995,0,35
02/11/1999,0.3990,0.3990,0.3990,0.3990,5,40
02/12/1999,0.3938,0.3938,0.3938,0.3938,0,40
02/16/1999,0.3891,0.3891,0.3891,0.3891,0,40
02/17/1999,0.3922,0.3922,0.3922,0.3922,0,40
02/18/1999,0.3970,0.3991,0.3970,0.3991,3,42
02/19/1999,0.3911,0.3911,0.3911,0.3911,0,42
02/22/1999,0.3943,0.3943,0.3943,0.3943,0,42
02/23/1999,0.3989,0.3989,0.3989,0.3989,0,42
02/24/1999,0.4054,0.4054,0.4054,0.4054,0,42
02/25/1999,0.4053,0.4053,0.4053,0.4053,0,42
02/26/1999,0.3962,0.3962,0.3962,0.3962,0,42
03/01/1999,0.3980,0.3980,0.3935,0.3935,1,43
03/02/1999,0.3998,0.3998,0.3998,0.3998,0,43
03/03/1999,0.4095,0.4095,0.4095,0.4095,0,43
03/04/1999,0.4147,0.4147,0.4147,0.4147,0,43
03/05/1999,0.4129,0.4129,0.4129,0.4129,0,43
03/08/1999,0.4171,0.4171,0.4171,0.4171,25,43
03/09/1999,0.4124,0.4124,0.4124,0.4124,30,73
03/10/1999,0.4278,0.4278,0.4278,0.4278,1,73
03/11/1999,0.4165,0.4165,0.4165,0.4165,5,75
03/12/1999,0.4200,0.4200,0.4192,0.4192,3,77
03/15/1999,0.4181,0.4181,0.4181,0.4181,150,176
03/16/1999,0.4191,0.4191,0.4191,0.4191,151,242
03/17/1999,0.4303,0.4303,0.4303,0.4303,0,242
03/18/1999,0.4335,0.4335,0.4306,0.4306,50,292
03/19/1999,0.4360,0.4360,0.4360,0.4360,0,292
03/22/1999,0.4420,0.4420,0.4420,0.4420,5,292
03/23/1999,0.4342,0.4342,0.4342,0.4342,0,292
03/24/1999,0.4283,0.4283,0.4283,0.4283,2,294
03/25/1999,0.4390,0.4395,0.4390,0.4395,1,294
03/26/1999,0.4501,0.4501,0.4501,0.4501,5,296
03/29/1999,0.4491,0.4491,0.4491,0.4491,0,296
03/30/1999,0.4574,0.4574,0.4574,0.4574,0,296
03/31/1999,0.4520,0.4520,0.4520,0.4520,0,296
04/01/1999,0.4462,0.4462,0.4462,0.4462,200,471
04/05/1999,0.4534,0.4534,0.4534,0.4534,44,480
04/06/1999,0.4529,0.4529,0.4529,0.4529,0,480
04/07/1999,0.4336,0.4336,0.4336,0.4336,68,483
04/08/1999,0.4373,0.4373,0.4373,0.4373,2,481
04/09/1999,0.4475,0.4475,0.4475,0.4475,0,483
04/12/1999,0.4434,0.4434,0.4434,0.4434,0,483
04/13/1999,0.4506,0.4506,0.4506,0.4506,0,483
04/14/1999,0.4441,0.4441,0.4441,0.4441,230,656
04/15/1999,0.4463,0.4463,0.4463,0.4463,1,656
04/16/1999,0.4567,0.4567,0.4517,0.4517,25,631
04/19/1999,0.4520,0.4567,0.4520,0.4567,65,660
04/20/1999,0.4510,0.4510,0.4488,0.4488,48,660
04/21/1999,0.4546,0.4546,0.4546,0.4546,28,660
04/22/1999,0.4535,0.4535,0.4535,0.4535,1,660
04/23/1999,0.4535,0.4535,0.4477,0.4477,11,662
04/26/1999,0.4472,0.4472,0.4472,0.4472,1,661
04/27/1999,0.4501,0.4501,0.4501,0.4501,1,661
04/28/1999,0.4601,0.4601,0.4601,0.4601,1,661
04/29/1999,0.4611,0.4611,0.4611,0.4611,1,661
04/30/1999,0.4656,0.4656,0.4656,0.4656,74,714
05/03/1999,0.4660,0.4660,0.4660,0.4660,100,814
05/04/1999,0.4650,0.4650,0.4650,0.4650,107,773
05/05/1999,0.4704,0.4704,0.4704,0.4704,56,748
05/06/1999,0.4622,0.4622,0.4622,0.4622,63,748
05/07/1999,0.4650,0.4650,0.4610,0.4610,5,751
05/10/1999,0.4704,0.4704,0.4704,0.4704,1,751
05/11/1999,0.4701,0.4701,0.4701,0.4701,1,751
05/12/1999,0.4698,0.4698,0.4698,0.4698,8,743
05/13/1999,0.4733,0.4733,0.4733,0.4733,1,743
05/14/1999,0.4712,0.4712,0.4712,0.4712,1,743
05/17/1999,0.4625,0.4685,0.4625,0.4685,1,743
