"Date","Open","High","Low","Close","Volume","OpenInt"
04/04/2000,0.5872,0.5872,0.5872,0.5872,16,10
04/05/2000,0.5993,0.5993,0.5993,0.5993,0,10
04/06/2000,0.5953,0.5953,0.5953,0.5953,0,10
04/07/2000,0.5953,0.5953,0.5953,0.5953,0,10
04/10/2000,0.5695,0.5695,0.5695,0.5695,0,10
04/11/2000,0.5681,0.5681,0.5681,0.5681,0,10
04/12/2000,0.5957,0.5957,0.5957,0.5957,0,10
04/13/2000,0.5879,0.5879,0.5879,0.5879,0,10
04/14/2000,0.5773,0.5773,0.5773,0.5773,0,10
04/17/2000,0.5829,0.5829,0.5829,0.5829,0,10
04/18/2000,0.5840,0.5840,0.5840,0.5840,0,10
04/19/2000,0.6000,0.6000,0.6000,0.6000,0,10
04/20/2000,0.5944,0.5944,0.5944,0.5944,0,10
04/24/2000,0.5952,0.5952,0.5952,0.5952,0,10
04/25/2000,0.5920,0.5932,0.5920,0.5932,1,11
04/26/2000,0.5779,0.5779,0.5779,0.5779,5,16
04/27/2000,0.5922,0.5922,0.5922,0.5922,0,16
04/28/2000,0.5929,0.5929,0.5929,0.5929,0,16
05/01/2000,0.5980,0.5980,0.5980,0.5980,0,16
05/02/2000,0.6147,0.6147,0.6147,0.6147,50,57
05/03/2000,0.5987,0.5987,0.5987,0.5987,0,57
05/04/2000,0.5995,0.5995,0.5995,0.5995,0,57
05/05/2000,0.5960,0.5960,0.5960,0.5960,0,57
05/08/2000,0.6161,0.6161,0.6161,0.6161,0,57
05/09/2000,0.6203,0.6203,0.6203,0.6203,15,72
05/10/2000,0.6235,0.6235,0.6235,0.6235,1,72
05/11/2000,0.6322,0.6322,0.6322,0.6322,1,72
05/12/2000,0.6307,0.6307,0.6307,0.6307,1,72
05/15/2000,0.6442,0.6442,0.6442,0.6442,1,72
05/16/2000,0.6424,0.6424,0.6424,0.6424,1,72
05/17/2000,0.6470,0.6470,0.6470,0.6470,1,72
05/18/2000,0.6535,0.6535,0.6535,0.6535,70,133
05/19/2000,0.6333,0.6333,0.6333,0.6333,0,133
05/22/2000,0.6400,0.6400,0.6297,0.6297,1,133
05/23/2000,0.6313,0.6313,0.6313,0.6313,0,133
05/24/2000,0.6410,0.6410,0.6410,0.6410,0,133
05/25/2000,0.6506,0.6506,0.6506,0.6506,0,133
05/26/2000,0.6343,0.6343,0.6343,0.6343,31,163
05/30/2000,0.6440,0.6455,0.6430,0.6455,5,165
05/31/2000,0.6565,0.6565,0.6333,0.6333,9,168
06/01/2000,0.6510,0.6510,0.6510,0.6510,0,168
06/02/2000,0.6518,0.6518,0.6518,0.6518,100,268
06/05/2000,0.6446,0.6446,0.6446,0.6446,0,268
06/06/2000,0.6444,0.6444,0.6444,0.6444,25,293
06/07/2000,0.6440,0.6496,0.6440,0.6496,26,318
06/08/2000,0.6448,0.6448,0.6448,0.6448,0,318
06/09/2000,0.6443,0.6443,0.6443,0.6443,0,318
06/12/2000,0.6600,0.6669,0.6600,0.6669,60,343
06/13/2000,0.6743,0.6743,0.6743,0.6743,42,378
06/14/2000,0.6686,0.6686,0.6686,0.6686,10,388
06/15/2000,0.6595,0.6595,0.6595,0.6595,1,389
06/16/2000,0.6382,0.6382,0.6382,0.6382,0,389
06/19/2000,0.6400,0.6412,0.6400,0.6412,7,394
06/20/2000,0.6553,0.6553,0.6553,0.6553,0,394
06/21/2000,0.6650,0.6657,0.6650,0.6657,12,401
06/22/2000,0.6809,0.6809,0.6809,0.6809,0,401
06/23/2000,0.6779,0.6779,0.6754,0.6754,1,401
06/26/2000,0.6704,0.6704,0.6704,0.6704,0,401
06/27/2000,0.6741,0.6741,0.6741,0.6741,0,401
06/28/2000,0.6718,0.6718,0.6718,0.6718,0,401
06/29/2000,0.6870,0.6870,0.6850,0.6850,1,402
06/30/2000,0.6693,0.6693,0.6693,0.6693,0,402
07/05/2000,0.6575,0.6575,0.6575,0.6575,0,402
07/06/2000,0.6515,0.6515,0.6515,0.6515,7,402
07/07/2000,0.6650,0.6650,0.6640,0.6640,1,403
07/10/2000,0.6622,0.6622,0.6622,0.6622,0,403
07/11/2000,0.6747,0.6747,0.6747,0.6747,25,428
07/12/2000,0.6831,0.6831,0.6831,0.6831,0,428
07/13/2000,0.6941,0.6941,0.6941,0.6941,30,458
07/14/2000,0.6876,0.6876,0.6876,0.6876,7,455
07/17/2000,0.6758,0.6758,0.6758,0.6758,0,455
07/18/2000,0.6915,0.6915,0.6915,0.6915,0,455
07/19/2000,0.6888,0.6888,0.6888,0.6888,0,455
07/20/2000,0.6861,0.6861,0.6861,0.6861,0,455
07/21/2000,0.6719,0.6719,0.6719,0.6719,4,455
07/24/2000,0.6723,0.6723,0.6723,0.6723,0,455
07/25/2000,0.6679,0.6679,0.6679,0.6679,6,459
07/26/2000,0.6680,0.6680,0.6680,0.6680,0,459
07/27/2000,0.6803,0.6803,0.6803,0.6803,0,459
07/28/2000,0.6830,0.6855,0.6771,0.6771,11,466
07/31/2000,0.6670,0.6670,0.6670,0.6670,2,468
08/01/2000,0.6732,0.6732,0.6732,0.6732,0,468
08/02/2000,0.6775,0.6775,0.6775,0.6775,24,468
08/03/2000,0.6824,0.6824,0.6824,0.6824,0,468
08/04/2000,0.6879,0.6879,0.6879,0.6879,0,468
08/07/2000,0.6713,0.6713,0.6713,0.6713,0,468
08/08/2000,0.6802,0.6802,0.6802,0.6802,0,468
08/09/2000,0.6918,0.6918,0.6918,0.6918,0,468
08/10/2000,0.7094,0.7094,0.7094,0.7094,0,468
08/11/2000,0.6961,0.6961,0.6961,0.6961,5,473
08/14/2000,0.7035,0.7035,0.7035,0.7035,25,498
08/15/2000,0.7100,0.7100,0.7036,0.7036,55,506
08/16/2000,0.7100,0.7100,0.7078,0.7078,107,569
08/17/2000,0.7106,0.7106,0.7106,0.7106,122,605
08/18/2000,0.7165,0.7165,0.7086,0.7086,12,613
08/21/2000,0.7281,0.7281,0.7281,0.7281,13,613
08/22/2000,0.7191,0.7191,0.7191,0.7191,37,622
08/23/2000,0.7370,0.7370,0.7298,0.7298,15,622
08/24/2000,0.7250,0.7250,0.7240,0.7240,62,662
08/25/2000,0.7270,0.7270,0.7210,0.7210,36,639
08/28/2000,0.7390,0.7390,0.7377,0.7377,61,599
08/29/2000,0.7413,0.7413,0.7413,0.7413,27,599
